Customer [cu_id=12, user_id=tjoeun24, user_pw=24, name=조, phone=010-6276-2755] 11시 12분 24초 
Customer [cu_id=12, user_id=tjoeun24, user_pw=24, name=조, phone=010-6276-2755] 11시 54분 23초 
Customer [cu_id=3, user_id=tjoeun, user_pw=1234, name=조은, phone=010-2525-8282] 12시 03분 13초 
Customer [cu_id=3, user_id=tjoeun, user_pw=1234, name=조은, phone=010-2525-8282] 12시 04분 10초 
Customer [cu_id=3, user_id=tjoeun, user_pw=1234, name=조은, phone=010-2525-8282] 12시 07분 33초 
Customer [cu_id=3, user_id=tjoeun, user_pw=1234, name=조은, phone=010-2525-8282] 12시 10분 00초 
Customer [cu_id=3, user_id=tjoeun, user_pw=1234, name=조은, phone=010-2525-8282] 12시 52분 44초 
Customer [cu_id=14, user_id=tjoeun22, user_pw=22, name=김씨, phone=010-6675-3377] 14시 51분 45초 
Customer [cu_id=3, user_id=tjoeun, user_pw=1234, name=조은, phone=010-2525-8282] 15시 26분 32초 
Customer [cu_id=12, user_id=tjoeun24, user_pw=24, name=조, phone=010-6276-2755] 15시 29분 52초 
Customer [cu_id=3, user_id=tjoeun, user_pw=1234, name=조은, phone=010-2525-8282] 15시 31분 14초 
Customer [cu_id=3, user_id=tjoeun, user_pw=1234, name=조은, phone=010-2525-8282] 15시 34분 44초 
Customer [cu_id=14, user_id=tjoeun22, user_pw=22, name=김씨, phone=010-6675-3377] 15시 48분 34초 
Customer [cu_id=14, user_id=tjoeun22, user_pw=22, name=김씨, phone=010-6675-3377] 15시 49분 14초 
Customer [cu_id=12, user_id=tjoeun24, user_pw=24, name=조, phone=010-6276-2755] 16시 07분 04초 
Customer [cu_id=15, user_id=tjoeun55, user_pw=555, name=김미미, phone=010-2664-2666] 16시 39분 52초 
